Time,Ic,offset
-0.000515,3.9e-06,
-0.0005148,3.9e-06,
-0.0005146,3.5e-06,
-0.0005144,3e-06,
-0.0005142,2.7e-06,
-0.000514,2.6e-06,
-0.0005138,2.9e-06,
-0.0005136,3.1e-06,
-0.0005134,3.2e-06,
-0.0005132,3.4e-06,
-0.000513,3.7e-06,
-0.0005128,4e-06,
-0.0005126,4.5e-06,
-0.0005124,4.4e-06,
-0.0005122,4.7e-06,
-0.000512,5.4e-06,
-0.0005118,5.9e-06,
-0.0005116,6e-06,
-0.0005114,5.8e-06,
-0.0005112,6.1e-06,
-0.000511,6.4e-06,
-0.0005108,6.8e-06,
-0.0005106,6.9e-06,
-0.0005104,6.9e-06,
-0.0005102,7.1e-06,
-0.00051,7.3e-06,
-0.0005098,7.2e-06,
-0.0005096,7.3e-06,
-0.0005094,7.2e-06,
-0.0005092,6.9e-06,
-0.000509,6.7e-06,
-0.0005088,6.6e-06,
-0.0005086,5.8e-06,
-0.0005084,6.1e-06,
-0.0005082,6e-06,
-0.000508,5e-06,
-0.0005078,5.2e-06,
-0.0005076,4.3e-06,
-0.0005074,4.5e-06,
-0.0005072,3.4e-06,
-0.000507,3.9e-06,
-0.0005068,2.8e-06,
-0.0005066,3e-06,
-0.0005064,2.7e-06,
-0.0005062,2.8e-06,
-0.000506,3e-06,
-0.0005058,3.1e-06,
-0.0005056,3.5e-06,
-0.0005054,3.4e-06,
-0.0005052,4e-06,
-0.000505,4.3e-06,
-0.0005048,4.4e-06,
-0.0005046,4.8e-06,
-0.0005044,5.3e-06,
-0.0005042,5.4e-06,
-0.000504,5.4e-06,
-0.0005038,5.7e-06,
-0.0005036,5.4e-06,
-0.0005034,5.5e-06,
-0.0005032,6.6e-06,
-0.000503,6.6e-06,
-0.0005028,6.7e-06,
-0.0005026,7.3e-06,
-0.0005024,7e-06,
-0.0005022,7.2e-06,
-0.000502,7.3e-06,
-0.0005018,7.4e-06,
-0.0005016,7.4e-06,
-0.0005014,7.4e-06,
-0.0005012,7.4e-06,
-0.000501,7.2e-06,
-0.0005008,6.7e-06,
-0.0005006,6.5e-06,
-0.0005004,6.3e-06,
-0.0005002,6.4e-06,
-0.0005,5.4e-06,
-0.0004998,5.3e-06,
-0.0004996,5.1e-06,
-0.0004994,4.9e-06,
-0.0004992,4.1e-06,
-0.000499,4.1e-06,
-0.0004988,3.8e-06,
-0.0004986,2.7e-06,
-0.0004984,2.7e-06,
-0.0004982,2.7e-06,
-0.000498,2.7e-06,
-0.0004978,2.9e-06,
-0.0004976,3.3e-06,
-0.0004974,3.4e-06,
-0.0004972,3.6e-06,
-0.000497,3.6e-06,
-0.0004968,3.7e-06,
-0.0004966,4.3e-06,
-0.0004964,4.4e-06,
-0.0004962,5.1e-06,
-0.000496,5.2e-06,
-0.0004958,5.9e-06,
-0.0004956,5.7e-06,
-0.0004954,5.9e-06,
-0.0004952,6.3e-06,
-0.000495,6.9e-06,
-0.0004948,6.9e-06,
-0.0004946,6.8e-06,
-0.0004944,6.9e-06,
-0.0004942,7.3e-06,
-0.000494,7.2e-06,
-0.0004938,7.5e-06,
-0.0004936,7.4e-06,
-0.0004934,7.5e-06,
-0.0004932,7.4e-06,
-0.000493,7.4e-06,
-0.0004928,7.1e-06,
-0.0004926,7e-06,
-0.0004924,6.8e-06,
-0.0004922,6e-06,
-0.000492,5.6e-06,
-0.0004918,5.5e-06,
-0.0004916,5.2e-06,
-0.0004914,4.3e-06,
-0.0004912,3.8e-06,
-0.000491,2.9e-06,
-0.0004908,3.6e-06,
-0.0004906,2.7e-06,
-0.0004904,2.7e-06,
-0.0004902,3.1e-06,
-0.00049,3e-06,
-0.0004898,3.4e-06,
-0.0004896,3.3e-06,
-0.0004894,3.7e-06,
-0.0004892,3.8e-06,
-0.000489,4e-06,
-0.0004888,4.3e-06,
-0.0004886,4.7e-06,
-0.0004884,4.6e-06,
-0.0004882,5e-06,
-0.000488,5.5e-06,
-0.0004878,5.9e-06,
-0.0004876,6e-06,
-0.0004874,6.2e-06,
-0.0004872,6.3e-06,
-0.000487,6.9e-06,
-0.0004868,7.1e-06,
-0.0004866,7.1e-06,
-0.0004864,7.3e-06,
-0.0004862,7.4e-06,
-0.000486,7.5e-06,
-0.0004858,7.5e-06,
-0.0004856,7.5e-06,
-0.0004854,7.3e-06,
-0.0004852,6.8e-06,
-0.000485,7.1e-06,
