Time,Ic
1.445e-05,8.8e-07
1.39e-05,8.8e-07
1.335e-05,9.20000000000001e-07
1.28e-05,9.20000000000001e-07
1.225e-05,9.20000000000001e-07
1.17e-05,9.20000000000001e-07
1.115e-05,9e-07
1.06e-05,8.6e-07
1.005e-05,8.4e-07
9.5e-06,8e-07
8.95e-06,7.4e-07
8.4e-06,6.8e-07
7.85e-06,6.6e-07
7.3e-06,6e-07
6.75e-06,5.2e-07
6.2e-06,4.4e-07
5.65e-06,3.6e-07
5.1e-06,3.4e-07
4.55e-06,3.4e-07
4e-06,3.4e-07
3.45e-06,3.8e-07
2.9e-06,4.2e-07
2.35e-06,4.2e-07
1.8e-06,4.8e-07
1.25e-06,5.2e-07
7e-07,5.8e-07
1.5e-07,6.4e-07
-4.00000000000001e-07,6.6e-07
-9.50000000000001e-07,7.6e-07
-1.5e-06,8e-07
-2.05e-06,8e-07
-2.6e-06,8.2e-07
-3.15e-06,8.8e-07
-3.7e-06,9.20000000000001e-07
-4.25e-06,8.8e-07
-4.8e-06,9.4e-07
-5.35e-06,9.20000000000001e-07
-5.9e-06,9.20000000000001e-07
-6.45e-06,9e-07
-7e-06,8.6e-07
-7.55e-06,8.2e-07
-8.1e-06,8.2e-07
-8.65e-06,7.6e-07
-9.2e-06,7.4e-07
-9.75e-06,6.8e-07
-1.03e-05,6e-07
-1.085e-05,5.2e-07
-1.14e-05,4.6e-07
-1.195e-05,3.4e-07
-1.25e-05,3.6e-07
-1.305e-05,3.4e-07
-1.36e-05,3.4e-07
-1.415e-05,3.8e-07
-1.47e-05,3.8e-07
-1.525e-05,4.2e-07
-1.58e-05,5e-07
-1.635e-05,5e-07
-1.69e-05,6e-07
-1.745e-05,6.2e-07
-1.8e-05,6.6e-07
-1.855e-05,7e-07
-1.91e-05,7.6e-07
-1.965e-05,8.4e-07
-2.02e-05,8.4e-07
-2.075e-05,8.8e-07
-2.13e-05,9e-07
-2.185e-05,9.20000000000001e-07
-2.24e-05,9.4e-07
-2.295e-05,9.4e-07
-2.35e-05,9.20000000000001e-07
-2.405e-05,9.20000000000001e-07
-2.46e-05,9.20000000000001e-07
-2.515e-05,8.6e-07
-2.57e-05,8.4e-07
-2.625e-05,7.8e-07
-2.68e-05,7.2e-07
-2.735e-05,6.8e-07
-2.79e-05,6.2e-07
-2.845e-05,4.8e-07
-2.9e-05,4.6e-07
-2.955e-05,3.8e-07
-3.01e-05,3.4e-07
-3.065e-05,3.2e-07
-3.12e-05,3.4e-07
-3.175e-05,3.6e-07
-3.23e-05,3.8e-07
-3.285e-05,4.4e-07
-3.34e-05,4.8e-07
-3.395e-05,5e-07
-3.45e-05,5.6e-07
-3.505e-05,6.2e-07
-3.56e-05,6.6e-07
-3.615e-05,7e-07
-3.67e-05,7.4e-07
-3.725e-05,8.2e-07
-3.78e-05,8.4e-07
-3.835e-05,8.6e-07
-3.89e-05,9.20000000000001e-07
-3.945e-05,9.20000000000001e-07
-4e-05,9.4e-07
-4.055e-05,9.4e-07
-4.11e-05,9.4e-07
-4.165e-05,9.20000000000001e-07
-4.22e-05,9e-07
-4.275e-05,8.8e-07
-4.33e-05,8.4e-07
-4.385e-05,7.6e-07
-4.44e-05,7e-07
-4.495e-05,6.2e-07
-4.55e-05,5.6e-07
-4.605e-05,4.4e-07
-4.66e-05,4e-07
-4.715e-05,3.6e-07
-4.77e-05,3.2e-07
-4.825e-05,3.4e-07
-4.88e-05,3.6e-07
-4.935e-05,3.6e-07
-4.99e-05,4e-07
-5.045e-05,4.2e-07
-5.1e-05,4.8e-07
-5.155e-05,5e-07
-5.21e-05,5.6e-07
-5.265e-05,6e-07
-5.32e-05,6.8e-07
-5.375e-05,7.2e-07
-5.43e-05,7.6e-07
-5.485e-05,8e-07
-5.54e-05,8.2e-07
-5.595e-05,8.6e-07
-5.65e-05,9e-07
-5.705e-05,9.4e-07
-5.76e-05,9.4e-07
-5.815e-05,9.4e-07
-5.87e-05,9.4e-07
-5.925e-05,9.4e-07
-5.98e-05,9e-07
-6.035e-05,9e-07
-6.09e-05,8.6e-07
-6.145e-05,8.2e-07
-6.2e-05,7.6e-07
-6.255e-05,6.8e-07
-6.31e-05,6.2e-07
-6.365e-05,5.8e-07
-6.42e-05,5e-07
-6.475e-05,3.8e-07
-6.53e-05,3.4e-07
-6.585e-05,3.2e-07
-6.64e-05,3.4e-07
-6.695e-05,3.6e-07
-6.75e-05,3.8e-07
-6.805e-05,4.2e-07
-6.86e-05,4.6e-07
-6.915e-05,5.4e-07
-6.97e-05,5.4e-07
-7.025e-05,5.8e-07
-7.08e-05,6.8e-07
-7.135e-05,7e-07
-7.19e-05,7.8e-07
